"","geoid","compost_points","enf_points","gascapture_points","insp_points","landdisposal_points","leachate_points","msw_points","tire_points","transfer_points","wte_points","sw_points","percentile_rank"
"381",27037060835,NA,9,NA,NA,NA,NA,NA,NA,0.3,NA,9.3,71.6899892357374
"382",27037060836,NA,0.5,NA,1,NA,NA,NA,NA,3,NA,4.5,47.7933261571582
"383",27037060904,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"384",27037061008,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"385",27037061112,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"386",27037061402,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"387",27037061501,NA,1.5,NA,NA,NA,NA,NA,NA,1.75,NA,3.25,41.0118406889128
"388",27039950200,NA,19,NA,3,NA,NA,NA,NA,NA,NA,22,91.280947255113
"389",27039950300,NA,11.5,NA,1,NA,NA,NA,NA,NA,NA,12.5,79.4402583423036
"390",27039950500,NA,3.5,NA,1,NA,1,10,4,6,NA,24.5,93.4337997847148
"391",27041450100,NA,3,NA,1,NA,NA,NA,NA,3,NA,7,61.1410118406889
"392",27041450702,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"393",27041450703,NA,2,NA,1,NA,NA,NA,NA,NA,4,7,61.1410118406889
"394",27041450704,NA,3,NA,NA,NA,NA,NA,NA,NA,2,5,50.2691065662002
"395",27041450900,NA,6,NA,3,NA,NA,NA,NA,NA,NA,9,69.967707212056
"396",27043460100,NA,0.5,NA,2,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"397",27043460200,NA,15,NA,3,NA,NA,NA,NA,NA,NA,18,88.0516684607104
"398",27043460500,NA,17,NA,7,NA,NA,NA,NA,NA,NA,24,92.6803013993541
"399",27043460600,NA,19.5,NA,3,NA,NA,NA,NA,NA,NA,22.5,91.9268030139935
"400",27045960200,NA,28,NA,8,NA,NA,NA,NA,NA,NA,36,97.8471474703983
"401",27045960500,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"402",27045960600,NA,10,NA,1,NA,NA,NA,NA,NA,NA,11,76.210979547901
"403",27047180100,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,10,73.6275565123789
"404",27047180200,NA,5.5,NA,NA,NA,NA,NA,NA,6,NA,11.5,77.0721205597416
"405",27047180300,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"406",27047180600,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"407",27047180800,NA,5.5,NA,2,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"408",27047181000,NA,8,NA,3,NA,NA,NA,NA,NA,NA,11,76.210979547901
"409",27049080102,NA,3.5,NA,NA,NA,NA,NA,NA,NA,0.8,4.3,47.6856835306781
"410",27049080300,NA,2,NA,3,NA,0.1,0.6,NA,NA,NA,5.6,54.5748116254037
"411",27049080500,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"412",27049080700,NA,5,NA,4,NA,NA,NA,NA,NA,NA,9,69.967707212056
"413",27049080900,NA,13,NA,4,NA,1,4,NA,6,NA,27,94.8331539289559
"414",27051070100,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"415",27053001100,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"416",27053002200,NA,1.5,NA,NA,NA,NA,NA,0.5,3,NA,5,50.2691065662002
"417",27053006800,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"418",27053007700,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"419",27053008100,NA,6,NA,3,NA,NA,NA,NA,NA,NA,9,69.967707212056
"420",27053008400,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
