"","geoid","compost_points","enf_points","gascapture_points","insp_points","landdisposal_points","leachate_points","msw_points","tire_points","transfer_points","wte_points","sw_points","percentile_rank"
"810",27173970400,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"811",27027030202,NA,NA,1,NA,NA,0.5,1.75,0.5,0.75,NA,4,43.4876210979548
"812",27171100203,NA,NA,0.2,NA,NA,NA,0.8,0.2,NA,NA,1.2,11.7330462863294
"813",27007450500,NA,NA,NA,1,NA,NA,NA,NA,3,NA,4,43.4876210979548
"814",27017070600,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"815",27035951200,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,25.6189451022605
"816",27053023600,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"817",27053100900,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"818",27137013900,NA,NA,NA,1,NA,NA,NA,4,1,NA,6,55.1130247578041
"819",27139080906,NA,NA,NA,1,NA,NA,NA,1,0.5,NA,2.5,31.8622174381055
"820",27171100500,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,34.983853606028
"821",27017070200,NA,NA,NA,NA,NA,1.6,2,NA,NA,NA,2,25.6189451022605
"822",27039950100,NA,NA,NA,NA,NA,0.25,3.75,2,1.5,NA,7.25,63.5091496232508
"823",27061480803,NA,NA,NA,NA,NA,6,6,NA,0.25,NA,6.25,58.2346609257266
"824",27089080300,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,0,0
"825",27141030408,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,0,0
"826",27053025805,NA,NA,NA,NA,NA,NA,0.8,NA,1.5,NA,2.3,31.5392895586652
"827",27061480701,NA,NA,NA,NA,NA,NA,6,2,NA,NA,8,65.8772874058127
"828",27133570200,NA,NA,NA,NA,NA,NA,6,NA,0.5,NA,6.5,58.4499461786868
"829",27003050608,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,34.983853606028
"830",27003050810,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.5,3.33692142088267
"831",27003050826,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,8.18083961248654
"832",27003050901,NA,NA,NA,NA,NA,NA,NA,0.5,1.5,NA,2,25.6189451022605
"833",27025110100,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,NA,0.8,7.64262648008611
"834",27053001700,NA,NA,NA,NA,NA,NA,NA,0.5,3,NA,3.5,41.227125941873
"835",27053002400,NA,NA,NA,NA,NA,NA,NA,1,6,NA,7,61.1410118406889
"836",27053003801,NA,NA,NA,NA,NA,NA,NA,0.2,0.25,NA,0.45,3.22927879440258
"837",27053026702,NA,NA,NA,NA,NA,NA,NA,1.4,3.6,NA,5,50.2691065662002
"838",27053026807,NA,NA,NA,NA,NA,NA,NA,4,6,NA,10,73.6275565123789
"839",27053026812,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA,1,8.18083961248654
"840",27053026816,NA,NA,NA,NA,NA,NA,NA,1,1.5,NA,2.5,31.8622174381055
"841",27053103000,NA,NA,NA,NA,NA,NA,NA,1.2,6.6,0.8,8.6,69.7524219590958
"842",27053103400,NA,NA,NA,NA,NA,NA,NA,0.5,1.5,2,4,43.4876210979548
"843",27053103700,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,NA,0.3,2.69106566200215
"844",27053104400,NA,NA,NA,NA,NA,NA,NA,1,3,4,8,65.8772874058127
"845",27053126101,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,0.8,1.6,25.0807319698601
"846",27053126202,NA,NA,NA,NA,NA,NA,NA,1,3,4,8,65.8772874058127
"847",27053126300,NA,NA,NA,NA,NA,NA,NA,2.2,12.6,0.8,15.6,85.7911733046286
"848",27085950402,NA,NA,NA,NA,NA,NA,NA,2,0.5,NA,2.5,31.8622174381055
"849",27109001301,NA,NA,NA,NA,NA,NA,NA,0.5,0.75,NA,1.25,11.8406889128095
"850",27123031600,NA,NA,NA,NA,NA,NA,NA,2,12,NA,14,82.8848223896663
"851",27123031702,NA,NA,NA,NA,NA,NA,NA,1,6,NA,7,61.1410118406889
"852",27123033100,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,NA,0.8,7.64262648008611
"853",27123034500,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,NA,0.8,7.64262648008611
"854",27123034601,NA,NA,NA,NA,NA,NA,NA,0.5,1.5,NA,2,25.6189451022605
"855",27123034602,NA,NA,NA,NA,NA,NA,NA,0.5,1.5,NA,2,25.6189451022605
"856",27123037200,NA,NA,NA,NA,NA,NA,NA,0.5,7.5,NA,8,65.8772874058127
"857",27123042001,NA,NA,NA,NA,NA,NA,NA,0.2,0.9,NA,1.1,11.5177610333692
"858",27123042002,NA,NA,NA,NA,NA,NA,NA,2,3,NA,5,50.2691065662002
"859",27137002600,NA,NA,NA,NA,NA,NA,NA,0.2,1.2,NA,1.4,12.0559741657696
"860",27137011401,NA,NA,NA,NA,NA,NA,NA,4,1,NA,5,50.2691065662002
"861",27139080303,NA,NA,NA,NA,NA,NA,NA,2,3.5,NA,5.5,52.4219590958019
"862",27139080908,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,34.983853606028
"863",27141030301,NA,NA,NA,NA,NA,NA,NA,2,4.5,NA,6.5,58.4499461786868
"864",27141031500,NA,NA,NA,NA,NA,NA,NA,2,0.1,NA,2.1,30.7857911733046
"865",27003050208,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8.18083961248654
"866",27003050227,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,34.983853606028
"867",27003050228,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"868",27003050229,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,1.8,25.2960172228202
"869",27003050230,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.6,6.24327233584499
"870",27003050236,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,34.983853606028
"871",27003050402,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,0.322927879440258
"872",27003050501,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,2.04520990312164
"873",27003050505,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.5,3.33692142088267
"874",27003050707,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8.18083961248654
"875",27003050711,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8.18083961248654
"876",27003050902,NA,NA,NA,NA,NA,NA,NA,NA,2.25,NA,2.25,31.3240043057051
"877",27007450202,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.5,3.33692142088267
"878",27009021102,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"879",27011950300,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8.18083961248654
"880",27013170800,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,1.25,11.8406889128095
"881",27013171101,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,2.04520990312164
"882",27027030300,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,34.983853606028
"883",27027030400,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,34.983853606028
"884",27037060837,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.3,2.69106566200215
"885",27053003802,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,2.04520990312164
"886",27053008500,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,12.1636167922497
"887",27053022000,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"888",27053022700,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"889",27053025301,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,12.1636167922497
"890",27053025801,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,12.1636167922497
"891",27053026910,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,12.1636167922497
"892",27053103900,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,0.322927879440258
"893",27053107500,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.75,6.9967707212056
"894",27053108600,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,34.983853606028
"895",27053108700,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,12.1636167922497
"896",27053108800,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.75,6.9967707212056
"897",27053109700,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.3,2.69106566200215
"898",27053125800,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,12.1636167922497
"899",27061480101,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8.18083961248654
"900",27099000600,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.75,6.9967707212056
"901",27123030602,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.6,6.24327233584499
"902",27123030704,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,12.1636167922497
"903",27123036400,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,0.322927879440258
"904",27123036500,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,0.322927879440258
"905",27123036600,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,2.04520990312164
"906",27123036700,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8.18083961248654
"907",27123037601,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,0.322927879440258
"908",27123037603,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,0.322927879440258
"909",27123040601,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"910",27123040804,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"911",27123040805,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"912",27123041107,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,12.1636167922497
"913",27123042301,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.6,6.24327233584499
"914",27123042302,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.6,6.24327233584499
"915",27123042402,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"916",27123042601,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.6,6.24327233584499
"917",27123042700,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.6,6.24327233584499
"918",27137002200,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.75,6.9967707212056
"919",27137003400,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"920",27139080100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,34.983853606028
"921",27141030201,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.75,6.9967707212056
"922",27145000402,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,2.04520990312164
"923",27145010600,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,34.983853606028
"924",27147960700,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,34.983853606028
"925",27163070207,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,78.0409041980624
"926",27163070704,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8.18083961248654
"927",27163070801,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8.18083961248654
"928",27163070802,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,2.04520990312164
"929",27169670302,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0.4,3.01399354144241
"930",27041450602,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8.18083961248654
