"","GEOID","enf_points","insp_points","hw_points","percentile_rank"
"823",27059130400,1.5,2,3.5,61.4923384410393
"824",27139080400,1,NA,1,40.7728181212525
"825",27139080905,NA,NA,0,0
"826",27143170400,11.5,3,14.5,87.8081279147235
"827",27143170300,11,NA,11,82.5449700199867
"828",27149480300,8,2,10,81.0126582278481
"829",27137014100,1,NA,1,40.7728181212525
"830",27137013600,2,NA,2,50.7661558960693
"831",27137015700,1.5,NA,1.5,45.9027315123251
"832",27137012700,2,NA,2,50.7661558960693
"833",27137000200,2,NA,2,50.7661558960693
"834",27171100500,1.5,NA,1.5,45.9027315123251
"835",27171100300,9,2,11,82.5449700199867
"836",27089080400,3,NA,3,58.2278481012658
"837",27089080200,NA,NA,0,0
"838",27095170400,15.5,3,18.5,91.8720852764823
"839",27137000500,NA,NA,0,0
"840",27137001000,0.5,NA,0.5,35.8427714856762
"841",27137001400,6,NA,6,71.9520319786809
"842",27137001800,0.5,NA,0.5,35.8427714856762
"843",27137015600,67.5,6,73.5,99.8667554963358
"844",27137015800,21,2,23,94.670219853431
"845",27137002900,0.5,NA,0.5,35.8427714856762
"846",27095170600,2.5,NA,2.5,55.0966022651566
"847",27095970300,7.5,NA,7.5,75.616255829447
"848",27113090100,3.5,NA,3.5,61.4923384410393
"849",27115950500,12,1,13,85.742838107928
"850",27145010200,18,2,20,92.871419053964
"851",27145010600,7.5,NA,7.5,75.616255829447
"852",27145000602,0.5,NA,0.5,35.8427714856762
"853",27145000901,19,NA,19,92.1385742838108
"854",27115950200,1,NA,1,40.7728181212525
"855",27115950600,2.5,NA,2.5,55.0966022651566
"856",27115950700,6,NA,6,71.9520319786809
"857",27137010200,18,NA,18,91.4057295136576
"858",27137010500,4,1,5,67.9546968687542
"859",27137015300,1,NA,1,40.7728181212525
"860",27137013400,6,1,7,74.4836775483011
"861",27137011200,8.5,NA,8.5,77.8147901399067
"862",27137014000,4,1,5,67.9546968687542
"863",27131070400,2,1,3,58.2278481012658
"864",27169671000,7.5,NA,7.5,75.616255829447
"865",27169670200,38,4,42,98.6675549633578
"866",27007450400,1,NA,1,40.7728181212525
"867",27007450600,2,NA,2,50.7661558960693
"868",27037060805,NA,NA,0,0
"869",27037060709,0.5,1,1.5,45.9027315123251
"870",27037061502,15,2,17,90.1399067288474
"871",27037061001,6.5,NA,6.5,73.217854763491
"872",27037060717,35.5,1,36.5,98.0013324450366
"873",27037060744,NA,NA,0,0
"874",27037061105,NA,NA,0,0
"875",27037060814,NA,NA,0,0
"876",27037060502,6,NA,6,71.9520319786809
"877",27037060509,1,NA,1,40.7728181212525
"878",27037060402,3,2,5,67.9546968687542
"879",27037060103,NA,NA,0,0
"880",27037060727,NA,NA,0,0
"881",27037060725,21.5,NA,21.5,93.7375083277815
"882",27037060816,NA,NA,0,0
"883",27061480403,1,NA,1,40.7728181212525
"884",27157490600,1.5,NA,1.5,45.9027315123251
"885",27017070600,6.5,NA,6.5,73.217854763491
"886",27017070300,1,NA,1,40.7728181212525
"887",27071790100,3.5,2,5.5,69.8201199200533
"888",27077460300,13.5,NA,13.5,86.5423051299134
"889",27021940001,3,NA,3,58.2278481012658
"890",27029000300,1,NA,1,40.7728181212525
"891",27035951400,1,1,2,50.7661558960693
"892",27057070400,0.5,NA,0.5,35.8427714856762
"893",27057070200,1.5,NA,1.5,45.9027315123251
"894",27119020700,17.5,2,19.5,92.4050632911392
"895",27119020900,6.5,NA,6.5,73.217854763491
"896",27119021000,7,NA,7,74.4836775483011
"897",27119020300,NA,NA,0,0
"898",27127750400,11,NA,11,82.5449700199867
"899",27127750200,19,3,22,94.0039973351099
"900",27135970400,1,NA,1,40.7728181212525
"901",27111961700,0.5,NA,0.5,35.8427714856762
"902",27111961100,0.5,NA,0.5,35.8427714856762
"903",27005450400,10,NA,10,81.0126582278481
"904",27111961600,NA,NA,0,0
"905",27111960600,21,1,22,94.0039973351099
"906",27005450100,16,1,17,90.1399067288474
"907",27005450500,13.5,NA,13.5,86.5423051299134
"908",27111961500,8.5,NA,8.5,77.8147901399067
"909",27145010401,39,NA,39,98.3344437041972
"910",27145010402,3.5,2,5.5,69.8201199200533
"911",27109001201,NA,NA,0,0
